Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1998,4.88,6,6,6,6,6.50,7,8,7.70,7,7.12,6.80
1999,7,6.50,6.30,6.50,5.75,5.60,6,6.38,6.50,6.50,5.75,4.50
2000,3.88,3.75,3.87,3.75,3.40,3.62,4.12,4.30,4.68,4.25,3.48,3.38
2001,3.80,4,3.62,3.88,4.30,4.45,4.30,4.10,7,6.70,7.50,7
2002,7.90,8,7.67,7.50,8.50,9.39,"
","
","
","
","
","
"
2005,"
","
","
","
","
","
","
",5,5.50,5.50,6,6
2006,6,6,5.40,6,6,6,6,6,6,6,6,5
2007,5,5,5,5,5,5,5,5,5.33,6,5.25,5
2008,5.33,6,6,6.80,7.50,8,7.80,8,7.75,8,9,10
2009,12.75,13,13,14.80,13.75,14,14.50,15,15.40,14.25,12.50,13
2010,14,14,13.40,13,11.50,11.50,12,10,8,8.75,8,8
2011,7.25,7,8,7.62,7.50,7.80,9,9.60,12,12,12.40,14.67
2012,16,16,15,20.50,14,14,14,14,14,11.60,10.50,11
2013,10.60,10,10.75,11,10,10,10,10,10,10,10,10
2014,8,8,10,10,10,10,10,10,10,10,10,10
2015,10,10,10,11,11,11,11,10.75,10,11,14,13.60
2016,17.75,15.50,12.80,14,14,14,14.25,15,14.75,14,14,14
2017,14,14,14.40,16,16,17.50,18,18,18,18,16.80,17.50
2018,17.20,18,17.50,17,18,18,18,16.80,16,16,16,16
2019,16,18,18,18,18,18,16.80,14,15.50,15.40,16,14
2020,15,18,18.50,18,21,"
",25,"
",18,15.75,18,18
2021,18,18,32.31,22.48,18,18,18,18,18,18,18.50,18
2022,17,18,18,18.50,18.50,19.20,18,18.80,18,18,18,18
2023,21,23.50,22.80,20,20,24,25,24.20,26,26,26,28
2024,30,"
",30,30,30,30,30.60,30,30,"
","
","
"
